method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_f1
bitfit,bert-base-uncased,cola,1024,500,matthews_correlation,0.23303227029913817,104450,0.09540226132861436,10.0,0.7171620325982742,0.5964890122413635,0.23303227029913817,0.23303227029913817,0.7677,1358.544,85.967,
bitfit,bert-base-uncased,cola,123,500,matthews_correlation,0.24827621061944255,104450,0.09540226132861436,10.0,0.7229146692233941,0.6373146176338196,0.24827621061944255,0.24827621061944255,1.2007,868.667,54.968,
bitfit,bert-base-uncased,cola,42,500,matthews_correlation,0.2808231208963771,104450,0.09540226132861436,10.0,0.7305848513902206,0.6871466636657715,0.2808231208963771,0.2808231208963771,1.0439,999.122,63.223,
bitfit,bert-base-uncased,cola,456,500,matthews_correlation,0.19491696791929794,104450,0.09540226132861436,10.0,0.7114093959731543,0.6026841998100281,0.19491696791929794,0.19491696791929794,1.7609,592.321,37.481,
bitfit,bert-base-uncased,cola,789,500,matthews_correlation,0.17458831044595108,104450,0.09540226132861436,10.0,0.7075743048897412,0.6655568480491638,0.17458831044595108,0.17458831044595108,1.1218,929.746,58.833,
full_ft,bert-base-uncased,cola,1024,500,matthews_correlation,0.2813373149696202,109483778,100.0,3.0,0.7142857142857143,0.590182363986969,0.2813373149696202,0.2813373149696202,1.1958,872.249,55.195,
full_ft,bert-base-uncased,cola,123,500,matthews_correlation,0.3594552668244613,109483778,100.0,3.0,0.7526366251198466,0.5973761081695557,0.3594552668244613,0.3594552668244613,0.9181,1136.089,71.891,
full_ft,bert-base-uncased,cola,42,500,matthews_correlation,0.34773686612908533,109483778,100.0,3.0,0.7488015340364333,0.6685835719108582,0.34773686612908533,0.34773686612908533,0.7591,1373.98,86.944,
full_ft,bert-base-uncased,cola,456,500,matthews_correlation,0.23962319473099683,109483778,100.0,3.0,0.7209971236816874,0.5638731122016907,0.23962319473099683,0.23962319473099683,0.8329,1252.197,79.238,
full_ft,bert-base-uncased,cola,789,500,matthews_correlation,0.30777628659792017,109483778,100.0,3.0,0.738255033557047,0.568021833896637,0.30777628659792017,0.30777628659792017,0.8408,1240.558,78.501,
